id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
40,2,239293,FALSE,0.529,0.903,2,-4.396,0,0.0483,3.31e-5,0.182,0.259,0.746,129.986,4,rock
41,0,424317,FALSE,0.422,0.108,5,-16.835,1,0.0376,0.971,0,0.101,0.263,71.872,4,jazz
42,3,212333,FALSE,0.395,0.382,2,-10.689,1,0.0329,0.918,1.96e-5,0.719,0.0582,108.082,4,rock
43,66,192228,FALSE,0.667,0.621,5,-5.697,1,0.0271,0.47,4.15e-5,0.13,0.451,106.032,4,pop
44,78,231575,FALSE,0.63,0.739,0,-3.942,1,0.0248,0.194,0,0.113,0.224,109.985,4,pop
45,0,224906,FALSE,0.321,0.09,0,-21.296,0,0.0321,0.838,0.00266,0.0998,0.157,65.825,4,jazz
46,67,233630,FALSE,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,4,pop
47,0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,pop
48,0,166253,FALSE,0.647,0.801,1,-2.946,0,0.249,0.0451,0,0.0628,0.517,180.108,4,pop
49,70,200827,FALSE,0.601,0.733,6,-5.987,0,0.0362,0.333,1.73e-6,0.406,0.375,94.017,4,pop
50,1,169680,FALSE,0.549,0.4,9,-9.302,1,0.0284,0.835,0,0.178,0.49,106.998,4,rock
51,92,154486,FALSE,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-5,0.0901,0.719,101.058,4,pop
52,50,225645,FALSE,0.655,0.104,5,-21.089,1,0.0319,0.891,0.0011,0.105,0.506,99.986,4,rock
53,0,228666,TRUE,0.407,0.954,7,-3.753,1,0.0532,6.29e-4,0.186,0.0545,0.454,171.988,4,rock
54,1,184906,FALSE,0.681,0.664,0,-8.036,1,0.0922,0.299,0,0.0772,0.729,118.33,4,rock
55,73,240133,FALSE,0.436,0.934,2,-2.685,1,0.0507,1.03e-5,0.14,0.321,0.384,91.481,4,rock
56,0,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,1.35e-4,0.136,0.141,107.269,3,jazz
57,64,184617,FALSE,0.823,0.765,2,-1.695,0,0.0633,0.464,0,0.0601,0.715,99.96,4,pop
58,0,185680,FALSE,0.414,0.131,4,-12.817,1,0.0347,0.934,7.88e-5,0.11,0.112,143.778,4,jazz
59,0,143026,FALSE,0.499,0.304,0,-11.543,1,0.0632,0.81,0,0.0546,0.521,129.321,4,jazz
60,0,256359,FALSE,0.553,0.722,7,-7.794,1,0.0327,0.101,2.83e-5,0.958,0.257,91.267,4,rock
61,0,114551,FALSE,0.426,0.473,5,-7.924,1,0.0335,0.353,0,0.0234,0.937,181.752,4,rock
62,0,238426,FALSE,0.502,0.716,7,-4.439,1,0.0587,0.291,0,0.246,0.629,169.952,4,rock
63,70,197549,FALSE,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-6,0.0799,0.444,107.047,4,pop
64,58,188106,FALSE,0.352,0.157,10,-12.571,1,0.0337,0.771,0,0.108,0.571,157.895,3,jazz
65,0,171066,FALSE,0.442,0.9,0,-5.032,1,0.0529,0.0109,0,0.395,0.609,148.62,4,rock
66,1,306320,FALSE,0.89,0.63,11,-9.661,0,0.0726,0.00876,0.00219,0.0179,0.828,104.204,4,rock
67,63,384256,FALSE,0.712,0.422,6,-10.688,1,0.046,0.307,1.71e-5,0.067,0.772,80.014,4,pop
68,0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,pop
69,0,168839,FALSE,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,pop
70,0,200413,FALSE,0.428,0.292,7,-15.157,0,0.0307,0.859,0.00105,0.191,0.508,159.757,4,rock
71,0,115240,FALSE,0.484,0.332,1,-10.312,1,0.037,0.787,0,0.373,0.683,134.999,4,jazz
72,57,237546,FALSE,0.529,0.739,7,-9.578,0,0.0718,0.0237,0.607,0.171,0.138,124.75,4,jazz
73,71,242678,FALSE,0.553,0.614,1,-5.098,1,0.0306,0.764,0,0.0811,0.345,136.628,4,jazz
74,0,191066,TRUE,0.522,0.9,0,-2.631,0,0.0719,6.98e-5,0,0.3,0.579,160.01,4,rock
75,67,279429,FALSE,0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,4,pop
76,0,247493,FALSE,0.394,0.17,0,-10.368,1,0.0451,0.889,0,0.105,0.315,130.721,3,pop
77,4,185906,FALSE,0.569,0.963,7,-3.069,1,0.0593,7.87e-4,0.0256,0.22,0.82,76.995,4,rock
78,84,187973,FALSE,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4,pop
79,0,246587,FALSE,0.373,0.348,3,-6.142,1,0.0314,0.728,0,0.12,0.0899,74.885,4,rock
80,0,197146,FALSE,0.262,0.677,7,-5.645,1,0.0528,0.447,0,0.205,0.365,207.478,3,rock
81,0,166440,FALSE,0.375,0.139,9,-19.789,0,0.0324,0.977,8.61e-6,0.0984,0.0878,75.993,3,jazz
82,76,208000,FALSE,0.772,0.649,2,-6.411,1,0.143,0.0724,0,0.0761,0.824,90.072,4,pop
83,90,298933,FALSE,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,pop
84,86,173381,FALSE,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4,rock
85,0,280493,FALSE,0.506,0.378,4,-11.641,0,0.0332,0.726,0.00514,0.0956,0.297,134.99,4,rock
86,3,242280,TRUE,0.565,0.551,0,-7.007,0,0.0687,0.0845,0,0.139,0.125,112.98,4,pop
87,0,149306,FALSE,0.605,0.497,1,-6.676,1,0.0319,0.727,3.95e-5,0.102,0.72,126.014,4,jazz
88,65,172750,FALSE,0.573,0.6,0,-7.751,1,0.3,0.586,7.65e-6,0.15,0.706,149.982,4,pop
89,84,205946,FALSE,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-5,0.135,0.163,99.988,4,pop
90,0,182533,FALSE,0.169,0.347,10,-8.785,1,0.0309,0.692,4.32e-4,0.337,0.256,176.118,3,jazz
91,0,210026,FALSE,0.226,0.382,1,-9.243,1,0.0288,0.845,0,0.111,0.165,81.943,4,jazz
92,0,143733,FALSE,0.439,0.196,0,-16.093,1,0.0601,0.88,0,0.0513,0.525,129.581,4,jazz
93,0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-5,0.138,0.208,73.196,5,jazz
94,75,179693,FALSE,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,jazz
95,0,180200,FALSE,0.25,0.228,3,-14.186,1,0.0364,0.811,1.66e-4,0.199,0.198,90.001,4,jazz
96,0,227986,FALSE,0.597,0.76,9,-3.94,0,0.029,0.0135,9.02e-6,0.407,0.496,131.767,4,rock
97,0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,jazz
98,72,223080,FALSE,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-5,0.0813,0.502,108.944,4,rock
99,0,253626,FALSE,0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,4,rock
100,73,218808,FALSE,0.652,0.37,4,-9.922,1,0.0604,0.661,0,0.109,0.662,99.894,4,pop
101,0,205666,FALSE,0.742,0.684,11,-6.543,0,0.137,0.139,0,0.115,0.547,133.593,4,rock
102,63,337733,FALSE,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4,jazz
103,0,298899,FALSE,0.314,0.238,0,-8.802,1,0.0389,0.741,0.00193,0.128,0.303,72.535,3,pop
104,67,264915,FALSE,0.568,0.511,9,-8.57,1,0.0351,0.119,0,0.123,0.134,117.972,4,pop
105,70,343906,FALSE,0.473,0.562,0,-8.624,1,0.0451,0.65,1.17e-4,0.12,0.316,74.653,3,pop
106,42,198554,FALSE,0.428,0.365,4,-11.889,0,0.0276,0.78,0.0033,0.113,0.236,94.033,3,rock
107,76,242333,FALSE,0.557,0.719,2,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,4,pop
108,75,171743,FALSE,0.456,0.437,8,-11.156,1,0.0867,0.839,0,0.218,0.209,108.678,4,pop
109,0,169756,FALSE,0.601,0.713,4,-3.758,0,0.0449,0.0282,0,0.158,0.464,122.872,4,pop
110,66,193333,FALSE,0.636,0.726,10,-8.205,0,0.0456,0.341,0.00727,0.105,0.542,162.035,4,pop
111,73,382296,FALSE,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,4,rock
112,68,185333,FALSE,0.541,0.676,8,-3.893,0,0.153,0.442,0,0.159,0.845,90.037,4,pop
113,0,233173,FALSE,0.46,0.0414,10,-17.252,1,0.0414,0.978,3.5e-4,0.108,0.056,80.349,3,jazz
114,1,206580,FALSE,0.211,0.821,9,-5.423,0,0.0732,1.25e-5,0.0329,0.104,0.371,153.742,4,rock
115,66,62942,FALSE,0.631,0.277,0,-6.119,0,0.0292,0.871,4.6e-5,0.151,0.88,139.733,4,pop
116,3,186066,FALSE,0.821,0.602,9,-6.628,1,0.168,0.108,0,0.246,0.628,90.035,4,pop
117,0,163449,FALSE,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,4,pop
118,0,192160,FALSE,0.54,0.63,10,-8.032,1,0.0494,0.217,0,0.111,0.321,85.648,4,pop
119,68,290526,FALSE,0.687,0.633,8,-9.552,1,0.141,0.119,0,0.291,0.567,151.996,4,pop
120,0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-5,0.138,0.208,73.196,5,jazz
121,80,178000,FALSE,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-5,0.273,0.64,120.023,4,rock
122,66,279120,TRUE,0.731,0.73,2,-6.302,1,0.123,0.411,0,0.052,0.503,79.999,4,pop
123,69,175874,FALSE,0.404,0.43,5,-8.313,1,0.0336,0.779,1.72e-4,0.0941,0.51,106.322,5,pop
124,70,334173,FALSE,0.537,0.628,10,-5.342,0,0.029,0.148,0,0.0355,0.514,97.87,4,pop
125,2,242096,FALSE,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4,pop
126,52,192260,FALSE,0.766,0.38,4,-16.165,0,0.0409,0.756,0.0061,0.137,0.292,114.995,4,jazz
127,0,238560,FALSE,0.556,0.545,10,-6.768,0,0.0255,0.0635,0,0.124,0.193,143.991,4,rock
128,75,241373,FALSE,0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4,rock
129,0,307440,FALSE,0.252,0.738,7,-5.326,1,0.0446,0.0145,4.97e-4,0.375,0.256,165.187,4,rock
130,47,259127,FALSE,0.579,0.767,2,-6.916,1,0.0399,0.00475,0,0.394,0.475,149.975,4,rock
131,0,246733,FALSE,0.61,0.889,4,-5.452,0,0.0585,7.94e-4,0.0865,0.0657,0.506,139.903,4,rock
132,0,185586,FALSE,0.471,0.0845,10,-20.204,1,0.0305,0.956,0.147,0.0825,0.149,84.608,3,jazz
133,0,150412,FALSE,0.569,0.489,5,-5.594,0,0.04,0.238,0,0.29,0.543,123.573,4,jazz
134,86,141805,TRUE,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4,pop
135,0,160293,FALSE,0.497,0.374,10,-6.941,1,0.028,0.751,5.82e-5,0.118,0.235,66.785,4,jazz
136,48,365641,FALSE,0.472,0.72,3,-7.719,0,0.0383,0.0658,0.9,0.284,0.36,149.97,1,jazz
137,0,267054,FALSE,0.453,0.576,5,-8.582,0,0.0445,0.632,8.18e-4,0.0906,0.341,139.947,4,jazz
138,0,206580,FALSE,0.211,0.821,9,-5.423,0,0.0732,1.25e-5,0.0329,0.104,0.371,153.742,4,rock
139,74,189176,FALSE,0.663,0.478,4,-7.265,0,0.185,0.095,0,0.0705,0.341,85.264,4,pop
140,72,132158,FALSE,0.701,0.638,6,-3.711,1,0.302,0.492,0,0.153,0.813,177.867,4,pop
141,0,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,jazz
142,54,250000,FALSE,0.762,0.391,1,-11.735,1,0.0337,0.867,5.21e-4,0.112,0.355,137.956,3,rock
143,67,162772,FALSE,0.836,0.51,1,-10.091,0,0.371,0.713,3.35e-5,0.101,0.56,151.499,3,pop
144,73,169566,FALSE,0.752,0.642,3,-5.165,0,0.0869,0.0861,0,0.0953,0.388,95.043,4,pop
145,77,262247,FALSE,0.792,0.647,10,-5.447,0,0.334,0.0299,0,0.119,0.638,89.029,4,pop
146,41,341094,FALSE,0.545,0.467,7,-8.641,0,0.0291,0.706,1.92e-6,0.112,0.251,88.178,4,jazz
147,0,169092,FALSE,0.683,0.514,5,-9.168,0,0.252,0.325,0,0.161,0.654,122.097,4,jazz
148,0,216426,FALSE,0.533,0.426,9,-9.525,0,0.0297,0.46,0,0.1,0.152,103.267,3,pop
149,0,227240,FALSE,0.552,0.873,0,-6.065,1,0.0464,0.00137,2.73e-4,0.0966,0.62,125.059,4,rock
150,88,244804,FALSE,0.466,0.9,11,-4.469,1,0.0447,2.35e-4,0.00104,0.103,0.561,130.02,4,rock
151,2,194087,FALSE,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,pop
152,70,232906,FALSE,0.727,0.714,2,-4.494,1,0.0872,0.0209,0,0.153,0.618,164.003,4,pop
153,74,188066,FALSE,0.713,0.639,2,-5.529,0,0.0313,0.753,0,0.0878,0.737,125.959,4,jazz
154,68,301862,FALSE,0.591,0.648,7,-7.556,0,0.0392,0.449,0,0.382,0.423,107.978,1,pop
155,0,115506,FALSE,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-6,0.154,0.69,192.76,3,jazz
156,0,366213,FALSE,0.418,0.116,5,-18.397,1,0.0331,0.966,0.648,0.138,0.0861,74.923,3,jazz
157,1,115240,FALSE,0.484,0.332,1,-10.312,1,0.037,0.787,0,0.373,0.683,134.999,4,jazz
158,1,143733,FALSE,0.439,0.196,0,-16.093,1,0.0601,0.88,0,0.0513,0.525,129.581,4,jazz
159,66,285250,FALSE,0.467,0.826,4,-3.885,0,0.049,0.298,0,0.204,0.417,160.025,4,pop
160,74,230400,FALSE,0.716,0.803,10,-5.14,0,0.0445,0.03,0,0.0817,0.325,124.961,4,pop
161,65,213500,FALSE,0.537,0.35,2,-8.937,1,0.0248,0.838,0,0.108,0.318,67.018,4,pop
162,80,162569,TRUE,0.647,0.723,5,-6.214,1,0.0491,0.00503,0,0.176,0.443,105.001,4,pop
163,2,186066,FALSE,0.821,0.602,9,-6.628,1,0.168,0.108,0,0.246,0.628,90.035,4,pop
164,3,201573,FALSE,0.512,0.796,1,-4.075,1,0.0645,0.00147,2.09e-4,0.0938,0.344,171.014,4,pop
165,45,380866,FALSE,0.683,0.6,7,-10.334,1,0.0324,0.58,0.452,0.0815,0.791,99.135,4,jazz
166,0,137933,FALSE,0.499,0.215,11,-17.369,0,0.031,0.898,0.913,0.0989,0.74,132.383,4,jazz
167,0,194706,FALSE,0.598,0.447,8,-7.932,1,0.0404,0.224,0,0.0704,0.365,123.855,4,jazz
168,1,148973,FALSE,0.546,0.878,3,-4.526,1,0.0377,0.677,0,0.127,0.964,159.105,4,rock
169,65,210466,FALSE,0.774,0.244,9,-9.748,0,0.0299,0.72,0.915,0.379,0.421,103.464,4,jazz
170,0,194706,FALSE,0.598,0.447,8,-7.932,1,0.0404,0.224,0,0.0704,0.365,123.855,4,jazz
171,0,84986,FALSE,0.553,0.337,10,-10.334,1,0.0303,0.818,0,0.113,0.664,102.213,4,jazz
172,67,205500,FALSE,0.868,0.635,10,-6.352,0,0.227,0.164,0,0.0898,0.621,90.019,4,pop
173,0,143026,FALSE,0.499,0.304,0,-11.543,1,0.0632,0.81,0,0.0546,0.521,129.321,4,jazz
174,0,197146,FALSE,0.262,0.677,7,-5.645,1,0.0528,0.447,0,0.205,0.365,207.478,3,rock
175,0,251120,FALSE,0.694,0.761,4,-6.066,1,0.0263,0.176,3.63e-5,0.123,0.866,129.953,4,rock
176,0,42440,TRUE,0.409,0.99,11,-2.084,1,0.115,0.02,0,0.513,0.962,172.715,4,rock
177,1,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,jazz
178,65,207071,FALSE,0.528,0.739,0,-6.32,0,0.0314,0.687,5.17e-5,0.168,0.542,128.1,4,pop
179,70,209230,FALSE,0.73,0.748,6,-4.371,0,0.152,0.0936,0,0.282,0.694,155.861,4,pop
180,0,193151,FALSE,0.449,0.886,8,-2.501,1,0.0624,0.00248,7.48e-5,0.0743,0.61,171.016,4,rock
181,39,198346,FALSE,0.623,0.353,7,-10.339,1,0.0317,0.889,0.012,0.109,0.236,105.908,4,jazz
182,0,265173,FALSE,0.784,0.879,1,-3.862,0,0.0308,0.39,8.48e-4,0.0426,0.893,100.622,4,rock
183,0,131733,FALSE,0.579,0.502,8,-7.57,1,0.0513,0.733,0,0.281,0.836,76.783,4,jazz
184,0,321323,FALSE,0.597,0.665,7,-4.403,1,0.129,0.424,0,0.115,0.443,94.467,4,rock
185,68,258319,FALSE,0.662,0.394,2,-14.407,1,0.0361,0.789,0.124,0.111,0.326,119.938,4,pop
186,0,246600,FALSE,0.64,0.644,1,-10.273,1,0.0283,0.273,0,0.0449,0.722,99.197,4,rock
187,0,146093,FALSE,0.695,0.494,9,-11.419,1,0.058,0.31,0,0.0888,0.816,127.382,4,rock
188,0,296680,FALSE,0.346,0.605,3,-7.059,0,0.0794,0.188,0,0.241,0.747,202.175,4,jazz
189,1,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,1.35e-4,0.136,0.141,107.269,3,jazz
190,0,186693,FALSE,0.523,0.194,8,-10.63,1,0.0433,0.84,9e-6,0.169,0.171,129.533,4,jazz
191,65,196071,FALSE,0.268,0.334,3,-8.877,0,0.0332,0.759,0,0.117,0.175,55.832,4,pop
192,0,121026,FALSE,0.462,0.209,1,-15.251,1,0.0323,0.9,0,0.0514,0.765,133.988,4,jazz
193,1,215527,FALSE,0.521,0.954,5,-3.556,1,0.0909,0.0295,5.02e-5,0.25,0.45,90.545,4,rock
194,0,163854,FALSE,0.697,0.875,5,-4.621,1,0.034,0.137,0,0.28,0.774,140.069,4,rock
195,0,414613,FALSE,0.688,0.639,5,-10.068,1,0.0425,0.47,0.655,0.117,0.602,99.645,4,jazz
196,36,202718,FALSE,0.607,0.695,0,-9.537,1,0.0567,0.163,4.26e-6,0.109,0.594,150.061,4,pop
197,2,242495,FALSE,0.315,0.418,7,-9.146,1,0.0299,0.131,6.79e-4,0.0836,0.237,129.116,4,pop
198,0,151387,FALSE,0.683,0.511,6,-5.598,1,0.0279,0.406,1.97e-4,0.111,0.598,109.991,3,rock
199,0,208920,FALSE,0.658,0.773,11,-5.119,1,0.0244,9.01e-4,0,0.194,0.66,100.006,4,rock
200,0,173040,FALSE,0.524,0.487,6,-7.525,0,0.0299,0.253,0,0.0579,0.482,117.108,4,rock
201,68,214207,FALSE,0.438,0.986,10,-3.384,0,0.14,0.35,3.43e-4,0.0773,0.736,159.894,4,pop
202,0,307014,FALSE,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-5,0.108,0.784,140.994,4,pop
203,64,283195,FALSE,0.628,0.834,4,-4.56,1,0.116,0.575,0,0.158,0.747,78.207,4,pop
204,0,206346,FALSE,0.335,0.232,4,-11.042,1,0.0334,0.908,8.89e-6,0.292,0.381,93.391,3,jazz
205,0,174866,FALSE,0.55,0.0973,8,-16.264,1,0.0468,0.986,1.04e-4,0.155,0.212,67.561,4,jazz
206,0,156266,FALSE,0.429,0.477,6,-6.225,0,0.0311,0.766,6.38e-4,0.16,0.327,88.534,3,jazz
207,0,244826,FALSE,0.694,0.816,3,-3.949,0,0.191,0.0217,2.92e-6,0.167,0.798,128.009,4,pop
208,0,169010,FALSE,0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,4,rock
209,0,173600,FALSE,0.509,0.326,0,-9.59,0,0.0254,0.0618,0.805,0.293,0.229,86.829,4,rock
210,0,168146,FALSE,0.258,0.175,0,-11.903,1,0.0323,0.939,1.56e-4,0.136,0.107,89.072,3,jazz
211,2,184390,FALSE,0.692,0.883,7,-4.698,1,0.0582,0.0512,0,0.228,0.614,122.984,4,pop
212,0,285373,FALSE,0.614,0.724,7,-7.521,1,0.0247,0.217,2.56e-4,0.146,0.902,97.863,4,rock
213,77,227160,FALSE,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,4,rock
214,3,171880,TRUE,0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4,pop
215,0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,jazz
216,3,193143,FALSE,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,4,pop
217,1,307014,FALSE,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-5,0.108,0.784,140.994,4,pop
218,1,237333,FALSE,0.535,0.547,1,-6.51,1,0.037,0.533,1.49e-6,0.123,0.477,115.146,3,jazz
219,45,189790,FALSE,0.738,0.892,11,-5.366,0,0.0538,0.00114,0.0648,0.0586,0.683,127.974,4,pop
220,0,246733,FALSE,0.61,0.889,4,-5.452,0,0.0585,7.94e-4,0.0865,0.0657,0.506,139.903,4,rock
221,0,247493,FALSE,0.394,0.17,0,-10.368,1,0.0451,0.889,0,0.105,0.315,130.721,3,pop
222,71,155306,FALSE,0.425,0.373,4,-7.543,1,0.0801,0.686,0,0.077,0.663,78.231,4,jazz
223,70,191239,FALSE,0.786,0.727,9,-5.028,0,0.051,0.0818,0,0.0824,0.697,93.97,4,pop
224,67,270375,FALSE,0.692,0.624,9,-6.492,0,0.0337,0.368,0,0.108,0.487,132.896,4,pop
225,0,180626,FALSE,0.534,0.533,5,-6.161,0,0.047,0.5,0,0.0875,0.478,136.854,4,jazz
226,83,295893,FALSE,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-5,0.0481,0.732,92.718,4,rock
227,55,190933,FALSE,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,4,jazz
228,38,187959,FALSE,0.454,0.621,3,-6.782,0,0.0816,0.49,1.15e-5,0.131,0.877,195.995,4,jazz
229,4,247147,FALSE,0.674,0.205,2,-14.173,1,0.0403,0.895,0.0275,0.114,0.352,95.987,4,pop
230,39,222320,FALSE,0.661,0.764,5,-6.572,0,0.0357,0.0613,0,0.261,0.637,114.949,4,jazz
231,66,287374,FALSE,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-5,0.329,0.311,156.396,4,pop
